time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC_true,SOC_est,SOC_open,m_H2_cumul_kg,H2_eq_kg
0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.1656444446261126
1,0.0,0.0,0.0,0.0,0.6,0.5995392683347298,0.5999875091273528,0.0,0.1656444446261126
2,0.0,0.0,0.0,0.0,0.6,0.6034907843825176,0.5999745988814136,0.0,0.1656444446261126
3,0.0,0.0,0.0,0.0,0.6,0.6005451307594951,0.5999641381963433,0.0,0.1656444446261126
4,0.0,0.0,0.0,0.0,0.6,0.6019220056442377,0.5999486403829669,0.0,0.1656444446261126
5,0.0,0.0,0.0,0.0,0.6,0.6018410669947051,0.5999388333673723,0.0,0.1656444446261126
6,0.0,0.0,0.0,0.0,0.6,0.5995095568213877,0.5999290095276301,0.0,0.1656444446261126
7,0.0,0.0,0.0,0.0,0.6,0.595466438790025,0.5999172262990979,0.0,0.1656444446261126
8,0.0,0.0,0.0,0.0,0.6,0.5972890882665746,0.5999109066264104,0.0,0.1656444446261126
9,0.0,0.0,0.0,0.0,0.6,0.5998652769814133,0.5999026089350781,0.0,0.1656444446261126
10,0.0,0.0,0.0,0.0,0.6,0.5967248902525927,0.5998940201130656,0.0,0.1656444446261126
11,0.0,0.0,0.0,0.0,0.6,0.5984509300966423,0.5998788377553741,0.0,0.1656444446261126
12,0.0,0.0,0.0,0.0,0.6,0.5962516715346169,0.5998675390659166,0.0,0.1656444446261126
13,0.0,0.0,0.0,0.0,0.6,0.599074234388853,0.5998579401290403,0.0,0.1656444446261126
14,0.0,0.0,0.0,0.0,0.6,0.6005662282536771,0.5998500262223109,0.0,0.1656444446261126
15,3.2,1.329447606157598,0.0,1.329447606157598,0.6,0.5995076092133713,0.5998405835520051,0.0,0.1656444446261126
16,5.4,2.2097697777777774,0.0,2.2097697777777774,0.5999791838878058,0.6040723737458927,0.599810327735956,0.0,0.1656444446261126
17,8.5,3.9193452955913735,0.0,3.9193452955913735,0.5999445717684554,0.598830402596493,0.5997646419977855,0.0,0.1656444446261126
18,11.5,4.940001888526901,0.0,4.940001888526901,0.5998831401988157,0.5967791591518722,0.5996898144700565,0.0,0.1656444446261126
19,14.1,5.250537086934157,0.0,5.250537086934157,0.5998056789913587,0.5943989142328536,0.5996006619748356,0.0,0.1656444446261126
20,16.2,5.938950666666664,0.0,5.938950666666664,0.5997233377201853,0.5985307907632756,0.5995108989982424,0.0,0.1656444446261126
21,18.7,5.790034139555707,0.0,5.790034139555707,0.599630174174745,0.5997076168143007,0.5994045730456353,0.0,0.1656444446261126
22,19.9,1.8204869372237489,0.0,1.8204869372237489,0.5995393513492228,0.5989339232153148,0.5993029603542309,0.0,0.1656444446261126
23,19.0,2.220005639384241,0.0,2.220005639384241,0.5995108400072542,0.5976918039495904,0.59926744490668,0.0,0.1656444446261126
24,20.6,3.7449452412741966,0.0,3.7449452412741966,0.5994760660409928,0.6013437005062648,0.599222839381449,0.0,0.1656444446261126
25,20.7,6.159835828703703,0.0,6.159835828703703,0.599417369755881,0.5960077194807657,0.5991520774899773,0.0,0.1656444446261126
26,24.1,9.688716817539246,0.0,9.688716817539246,0.5993207301722304,0.597432382699187,0.5990434265619674,0.0,0.1656444446261126
27,25.8,7.408517069958845,0.0,7.408517069958845,0.5991685108965921,0.6000763686565919,0.5988819765141077,0.0,0.1656444446261126
28,27.4,7.539544031702476,0.0,7.539544031702476,0.5990522206436479,0.6015425294235442,0.59875171126249,0.0,0.1656444446261126
29,28.9,7.234042641956257,0.0,7.234042641956257,0.5989338663036653,0.5990867144115898,0.5986245769711831,0.0,0.1656444446261126
30,30.1,6.975669489007019,0.0,6.975669489007019,0.5988203204122093,0.6011736294698216,0.5984989997924176,0.0,0.1656444446261126
31,31.3,4.661067759926076,0.0,4.661067759926076,0.5987108402230938,0.5990968702459146,0.5983797395317406,0.0,0.1656444446261126
32,31.2,2.2367663045267427,0.0,2.2367663045267427,0.5986377536814643,0.5960706509874858,0.5982986150317056,0.0,0.1656444446261126
33,31.2,4.644173711934155,0.0,4.644173711934155,0.5986027143540682,0.6009187561661752,0.5982502075770251,0.0,0.1656444446261126
34,32.3,6.907982384792705,0.0,6.907982384792705,0.5985298925377158,0.6015985611075425,0.5981664746776771,0.0,0.1656444446261126
35,33.3,5.003080560185182,0.0,5.003080560185182,0.5984214749295995,0.5979797160172513,0.5980459414139356,0.0,0.1656444446261126
36,33.4,3.3022855406188256,0.0,3.3022855406188256,0.5983430129177281,0.6017720944229953,0.5979553644142711,0.0,0.1656444446261126
37,33.6,2.6785350781893014,0.0,2.6785350781893014,0.5982912588054708,0.6029781146775803,0.5978925987076781,0.0,0.1656444446261126
38,33.4,2.0137052937052093,0.0,2.0137052937052093,0.5982492904846711,0.6016276992163245,0.5978467963455009,0.0,0.1656444446261126
39,33.3,2.0053953750000084,0.0,2.0053953750000084,0.5982177472082494,0.5986123019081508,0.5978039001605563,0.0,0.1656444446261126
40,33.1,2.62734011486435,0.0,2.62734011486435,0.5981863341208209,0.5937823157688557,0.5977611210709708,0.0,0.1656444446261126
41,33.3,3.504237967592589,0.0,3.504237967592589,0.5981451684156546,0.5976046406376953,0.5977094544543817,0.0,0.1656444446261126
42,33.5,2.0220357915142597,0.0,2.0220357915142597,0.5980902439219093,0.5967681501240114,0.59763931358829,0.0,0.1656444446261126
43,33.0,1.131823045267488,0.0,1.131823045267488,0.598058569622665,0.5965149823406329,0.5975987739934981,0.0,0.1656444446261126
44,32.8,1.7532469617436397,0.0,1.7532469617436397,0.598040846340707,0.5983161506663982,0.5975673968167687,0.0,0.1656444446261126
45,32.6,2.367035666514258,0.0,2.367035666514258,0.5980133853213336,0.5992895210000031,0.5975302962424058,0.0,0.1656444446261126
46,32.7,1.9559645735596665,0.0,1.9559645735596665,0.5979763014192713,0.6006141237136747,0.597481831569373,0.0,0.1656444446261126
47,32.3,0.8849628374676041,0.0,0.8849628374676041,0.5979456626063233,0.5980423073067075,0.597442031792797,0.0,0.1656444446261126
48,31.9,0.45535462583829384,0.0,0.45535462583829384,0.5979318061494335,0.5946212439465257,0.5974181534141104,0.0,0.1656444446261126
49,31.3,0.23334142247752,0.0,0.23334142247752,0.5979246775647274,0.597483841211161,0.5973990911619681,0.0,0.1656444446261126
50,30.8,1.0119743249504636,0.0,1.0119743249504636,0.5979210249204324,0.5972451461882443,0.5973843132025157,0.0,0.1656444446261126
51,30.6,0.6080257777777778,0.0,0.6080257777777778,0.5979051789267832,0.5967395944276128,0.59736128768315,0.0,0.1656444446261126
52,29.9,0.0,0.0,0.0,0.5978956596739179,0.5956982562493862,0.5973416093039418,0.0,0.1656444446261126
53,29.1,0.0,0.0,0.0,0.5978956596739179,0.5981267564518549,0.5973309462086964,0.0,0.1656444446261126
54,27.0,0.0,0.0,0.0,0.5978956596739179,0.5983623429135791,0.5973145956923042,0.0,0.1656444446261126
55,25.0,0.0,0.0,0.0,0.5978956596739179,0.5978681528005583,0.597302769163441,0.0,0.1656444446261126
56,22.8,0.0,0.0,0.0,0.5978956596739179,0.5978245710772363,0.5972969879723724,0.0,0.1656444446261126
57,22.1,0.0,0.0,0.0,0.5978956596739179,0.6035035765926607,0.5972857095551226,0.0,0.1656444446261126
58,21.3,0.0,0.0,0.0,0.5978956596739179,0.6003421167917601,0.5972751327800248,0.0,0.1656444446261126
59,20.3,1.3383123504991579,0.0,1.3383123504991579,0.5978956596739179,0.5959871209505162,0.5972641180904962,0.0,0.1656444446261126
60,21.2,4.132115054717263,0.0,4.132115054717263,0.5978747009551765,0.5990053579698253,0.5972288737528255,0.0,0.1656444446261126
61,22.2,2.195716427983541,0.0,2.195716427983541,0.5978099175826757,0.596125166012774,0.5971507819582496,0.0,0.1656444446261126
62,21.6,1.4360991111111159,0.0,1.4360991111111159,0.597775519459522,0.5940594126857316,0.5971013760731211,0.0,0.1656444446261126
63,22.1,3.890067359758418,0.0,3.890067359758418,0.597753028242545,0.6016079955080175,0.597066143586439,0.0,0.1656444446261126
64,23.2,4.244739131839653,0.0,4.244739131839653,0.5976920449557418,0.5976459821363249,0.5969968006783167,0.0,0.1656444446261126
65,23.8,1.7598143691510437,0.0,1.7598143691510437,0.5976254918403383,0.5965016081261131,0.5969188596424546,0.0,0.1656444446261126
66,23.2,0.0,0.0,0.0,0.5975979269149425,0.5974187763396824,0.5968844910043674,0.0,0.1656444446261126
67,22.1,0.0,0.0,0.0,0.5975979269149425,0.5986223077366133,0.5968763307369055,0.0,0.1656444446261126
68,21.2,0.0,0.0,0.0,0.5975979269149425,0.60146166271896,0.5968677735820006,0.0,0.1656444446261126
69,20.0,0.0,0.0,0.0,0.5975979269149425,0.5980711936768468,0.5968588381744793,0.0,0.1656444446261126
70,18.3,0.0,0.0,0.0,0.5975979269149425,0.5949271160103277,0.5968454672933199,0.0,0.1656444446261126
71,15.0,0.0,0.0,0.0,0.5975979269149425,0.5997455949874216,0.5968337243490571,0.0,0.1656444446261126
72,10.0,0.0,0.0,0.0,0.5975979269149425,0.5986921893832644,0.5968270784691532,0.0,0.1656444446261126
73,5.7,0.0,0.0,0.0,0.5975979269149425,0.5997257923841929,0.5968152454613914,0.0,0.1656444446261126
74,2.1,0.0,0.0,0.0,0.5975979269149425,0.5952433052033239,0.5968075703244772,0.0,0.1656444446261126
75,0.0,0.0,0.0,0.0,0.5975979269149425,0.5975342087324468,0.5967950093756837,0.0,0.1656444446261126
76,0.0,0.0,0.0,0.0,0.5975979269149425,0.5983665966670746,0.5967832024510995,0.0,0.1656444446261126
77,0.0,0.0,0.0,0.0,0.5975979269149425,0.5983674823205462,0.5967739802975484,0.0,0.1656444446261126
78,0.0,0.0,0.0,0.0,0.5975979269149425,0.5962018977138025,0.5967620550962336,0.0,0.1656444446261126
79,0.0,0.0,0.0,0.0,0.5975979269149425,0.5982383762593865,0.596745761278147,0.0,0.1656444446261126
80,0.0,0.0,0.0,0.0,0.5975979269149425,0.5992981163036486,0.596737959343417,0.0,0.1656444446261126
81,0.0,0.0,0.0,0.0,0.5975979269149425,0.5999290788329263,0.5967295556813899,0.0,0.1656444446261126
82,0.0,0.0,0.0,0.0,0.5975979269149425,0.596448071591623,0.5967152262492259,0.0,0.1656444446261126
83,0.0,0.0,0.0,0.0,0.5975979269149425,0.5981767927837819,0.5967014390933113,0.0,0.1656444446261126
84,0.0,0.0,0.0,0.0,0.5975979269149425,0.6021136279893625,0.5966880444817557,0.0,0.1656444446261126
85,0.0,0.0,0.0,0.0,0.5975979269149425,0.5972880517098825,0.5966776150043002,0.0,0.1656444446261126
86,0.0,0.0,0.0,0.0,0.5975979269149425,0.5956320891734214,0.5966689747666046,0.0,0.1656444446261126
