time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC,m_H2_cumul_kg,H2_eq_kg
0,0.0,0.0,0.0,0.0,0.6,0.0,0.14026792876977712
1,0.5,0.06299896881191891,0.0,0.06299896881191891,0.6,0.0,0.14026792876977712
2,0.9,0.11340331944444443,0.0,0.11340331944444443,0.5999990140760011,0.0,0.14026792876977712
3,1.4,0.17642169669257735,0.0,0.17642169669257735,0.5999972392961632,0.0,0.14026792876977712
4,1.8,0.20370340740740744,0.0,0.20370340740740744,0.5999944781993216,0.0,0.14026792876977712
5,2.1,0.22417611985596708,0.0,0.22417611985596708,0.5999912900934032,0.0,0.14026792876977712
6,2.4,0.25623455144032914,0.0,0.25623455144032914,0.599987781545251,0.0,0.14026792876977712
7,2.7,0.2709451805555555,0.0,0.2709451805555555,0.5999837712029936,0.0,0.14026792876977712
8,2.9,0.2537543090039627,0.0,0.2537543090039627,0.5999795305976069,0.0,0.14026792876977712
9,3.0,0.22394238683127568,0.0,0.22394238683127568,0.5999755590749114,0.0,0.14026792876977712
10,3.0,0.20465226337448555,0.0,0.20465226337448555,0.599972054180546,0.0,0.14026792876977712
11,3.0,0.18536213991769543,0.0,0.18536213991769543,0.5999688512170677,0.0,0.14026792876977712
12,2.9,0.14187159295458013,0.0,0.14187159295458013,0.5999659501801063,0.0,0.14026792876977712
13,2.7,0.09733406944444446,0.0,0.09733406944444446,0.599963729836011,0.0,0.14026792876977712
14,2.4,2.385864181069959,0.0,2.385864181069959,0.5999622065476408,0.0,0.14026792876977712
15,17.1,17.049618069444445,0.0,17.049618069444445,0.5999248335503227,0.0,0.14026792876977712
16,16.8,0.43701904526748897,0.0,0.43701904526748897,0.5996561849451274,0.0,0.14026792876977712
17,16.4,0.2134719710409998,0.0,0.2134719710409998,0.5996493444514036,0.0,0.14026792876977712
18,15.9,0.20432675051440333,0.0,0.20432675051440333,0.599646003349971,0.0,0.14026792876977712
19,15.5,0.19718728328379823,0.0,0.19718728328379823,0.5996428053932997,0.0,0.14026792876977712
20,15.0,0.09202674897119377,0.0,0.09202674897119377,0.5996397191856926,0.0,0.14026792876977712
21,14.5,0.17999850203855972,0.0,0.17999850203855972,0.5996382789210369,0.0,0.14026792876977712
22,14.1,0.17337659310699585,0.0,0.17337659310699585,0.5996354617557507,0.0,0.14026792876977712
23,13.6,0.1652942155159275,0.0,0.1652942155159275,0.5996327482367672,0.0,0.14026792876977712
24,13.2,0.3287326008230459,0.0,0.3287326008230459,0.5996301612228696,0.0,0.14026792876977712
25,12.9,0.40317169393004154,0.0,0.40317169393004154,0.5996250159057329,0.0,0.14026792876977712
26,12.6,0.39280577777777814,0.0,0.39280577777777814,0.5996187052799539,0.0,0.14026792876977712
27,12.3,0.46159923816872317,0.0,0.46159923816872317,0.5996125569282044,0.0,0.14026792876977712
28,12.1,0.6090941906531,0.0,0.6090941906531,0.5996053315928707,0.0,0.14026792876977712
29,12.0,0.7580843621399178,0.0,0.7580843621399178,0.5995957969796744,0.0,0.14026792876977712
30,12.0,0.8352448559670781,0.0,0.8352448559670781,0.5995839293986819,0.0,0.14026792876977712
31,12.0,0.9124053497942383,0.0,0.9124053497942383,0.5995708534797188,0.0,0.14026792876977712
32,12.1,1.075915178307424,0.0,1.075915178307424,0.5995565691448114,0.0,0.14026792876977712
33,12.3,1.2524942998971205,0.0,1.2524942998971205,0.5995397238363105,0.0,0.14026792876977712
34,12.6,1.3650279999999995,0.0,1.3650279999999995,0.5995201124731684,0.0,0.14026792876977712
35,12.9,1.3985420643004112,0.0,1.3985420643004112,0.5994987380833406,0.0,0.14026792876977712
36,13.2,1.517004205761316,0.0,1.517004205761316,0.5994768385798169,0.0,0.14026792876977712
37,13.6,1.7393682895900016,0.0,1.7393682895900016,0.599453082937679,0.0,0.14026792876977712
38,14.1,1.80532103755144,0.0,1.80532103755144,0.5994258427056198,0.0,0.14026792876977712
39,14.5,1.8582392427793033,0.0,1.8582392427793033,0.5993975687814982,0.0,0.14026792876977712
40,15.0,2.0210390946502055,0.0,2.0210390946502055,0.5993684654001077,0.0,0.14026792876977712
41,15.5,1.9911687647652798,0.0,1.9911687647652798,0.599336810151644,0.0,0.14026792876977712
42,15.9,2.044604528292181,0.0,2.044604528292181,0.599305623044875,0.0,0.14026792876977712
43,16.4,2.1116201191891477,0.0,2.1116201191891477,0.5992735982238399,0.0,0.14026792876977712
44,16.8,0.0,0.0,0.0,0.5992405227603378,0.0,0.14026792876977712
45,2.1,0.0,0.0,0.0,0.5992405227603378,0.0,0.14026792876977712
46,2.4,0.25623455144032914,0.0,0.25623455144032914,0.5992405227603378,0.0,0.14026792876977712
47,2.7,0.2709451805555555,0.0,0.2709451805555555,0.5992365121647649,0.0,0.14026792876977712
48,2.9,0.2537543090039627,0.0,0.2537543090039627,0.5992322712915148,0.0,0.14026792876977712
49,3.0,0.22394238683127568,0.0,0.22394238683127568,0.5992282995179561,0.0,0.14026792876977712
50,3.0,0.20465226337448555,0.0,0.20465226337448555,0.5992247944022073,0.0,0.14026792876977712
