cycle,method,H2_raw_kg,SOC_end,H2_eq_kg,FC_eff_mean_pct,FC_max_kW,raw_gap_vs_DP_pct,H2_eq_gap_vs_DP_pct,total_energy_kWh
wltc,Rule,0.2873,0.611,0.2618,44.8,22.8,20.3,-13.7,4.41
wltc,DP,0.2388,0.572,0.3035,36.8,16.7,0.0,0.0,4.41
wltc,ECMS,0.2616,0.594,0.2745,39.5,22.9,9.5,-9.6,4.41
wltc,MPC_optimized,0.2432,0.576,0.2976,38.9,19.3,1.8,-1.9,4.41
nedc,Rule,0.1447,0.613,0.1142,37.4,25.0,53.2,-31.4,1.79
nedc,DP,0.0944,0.568,0.1664,24.9,15.3,0.0,0.0,1.79
nedc,ECMS,0.0984,0.585,0.1334,20.6,26.9,4.2,-19.8,1.79
nedc,MPC_optimized,0.0812,0.574,0.1403,16.5,28.0,-14.0,-15.7,1.79
