time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC,m_H2_cumul_kg,H2_eq_kg
0,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
1,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
2,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
3,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
4,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
5,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
6,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
7,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
8,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
9,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
10,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
11,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
12,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
13,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
14,0.0,0.0,0.0,0.0,0.6,0.0,0.17091682414302092
15,3.2,1.329447606157598,0.0,1.329447606157598,0.6,0.0,0.17091682414302092
16,5.4,2.2097697777777774,0.0,2.2097697777777774,0.5999791838878058,0.0,0.17091682414302092
17,8.5,3.9193452955913735,0.0,3.9193452955913735,0.5999445717684554,0.0,0.17091682414302092
18,11.5,4.940001888526901,0.0,4.940001888526901,0.5998831401988157,0.0,0.17091682414302092
19,14.1,5.250537086934157,0.0,5.250537086934157,0.5998056789913587,0.0,0.17091682414302092
20,16.2,5.938950666666664,0.0,5.938950666666664,0.5997233377201853,0.0,0.17091682414302092
21,18.7,5.790034139555707,0.0,5.790034139555707,0.599630174174745,0.0,0.17091682414302092
22,19.9,1.8204869372237489,0.0,1.8204869372237489,0.5995393513492228,0.0,0.17091682414302092
23,19.0,2.220005639384241,0.0,2.220005639384241,0.5995108400072542,0.0,0.17091682414302092
24,20.6,3.7449452412741966,0.0,3.7449452412741966,0.5994760660409928,0.0,0.17091682414302092
25,20.7,6.159835828703703,0.0,6.159835828703703,0.599417369755881,0.0,0.17091682414302092
26,24.1,9.688716817539246,0.0,9.688716817539246,0.5993207301722304,0.0,0.17091682414302092
27,25.8,7.408517069958845,0.0,7.408517069958845,0.5991685108965921,0.0,0.17091682414302092
28,27.4,7.539544031702476,0.0,7.539544031702476,0.5990522206436479,0.0,0.17091682414302092
29,28.9,7.234042641956257,0.0,7.234042641956257,0.5989338663036653,0.0,0.17091682414302092
30,30.1,6.975669489007019,0.0,6.975669489007019,0.5988203204122093,0.0,0.17091682414302092
31,31.3,4.661067759926076,0.0,4.661067759926076,0.5987108402230938,0.0,0.17091682414302092
32,31.2,2.2367663045267427,0.0,2.2367663045267427,0.5986377536814643,0.0,0.17091682414302092
33,31.2,4.644173711934155,0.0,4.644173711934155,0.5986027143540682,0.0,0.17091682414302092
34,32.3,6.907982384792705,0.0,6.907982384792705,0.5985298925377158,0.0,0.17091682414302092
35,33.3,5.003080560185182,0.0,5.003080560185182,0.5984214749295995,0.0,0.17091682414302092
36,33.4,3.3022855406188256,0.0,3.3022855406188256,0.5983430129177281,0.0,0.17091682414302092
37,33.6,2.6785350781893014,0.0,2.6785350781893014,0.5982912588054708,0.0,0.17091682414302092
38,33.4,2.0137052937052093,0.0,2.0137052937052093,0.5982492904846711,0.0,0.17091682414302092
39,33.3,2.0053953750000084,0.0,2.0053953750000084,0.5982177472082494,0.0,0.17091682414302092
40,33.1,2.62734011486435,0.0,2.62734011486435,0.5981863341208209,0.0,0.17091682414302092
41,33.3,3.504237967592589,0.0,3.504237967592589,0.5981451684156546,0.0,0.17091682414302092
42,33.5,2.0220357915142597,0.0,2.0220357915142597,0.5980902439219093,0.0,0.17091682414302092
43,33.0,1.131823045267488,0.0,1.131823045267488,0.598058569622665,0.0,0.17091682414302092
44,32.8,1.7532469617436397,0.0,1.7532469617436397,0.598040846340707,0.0,0.17091682414302092
45,32.6,2.367035666514258,0.0,2.367035666514258,0.5980133853213336,0.0,0.17091682414302092
46,32.7,1.9559645735596665,0.0,1.9559645735596665,0.5979763014192713,0.0,0.17091682414302092
