t_s,I_A,V_V,SOC_true,SOC_ekf
0.0,5.0,4.037713830274322,1.0,0.9124857579153915
10.0,5.0,3.999080846415964,0.9972222222222222,0.9033297052249984
20.0,5.0,3.9779587399044356,0.9944444444444445,0.8922686073967266
30.0,5.0,3.9646772971336013,0.9916666666666667,0.8774047089168373
40.0,5.0,3.955790747790221,0.9888888888888889,0.863038318642291
50.0,5.0,3.9497003361253906,0.986111111111111,0.8494665214674739
60.0,5.0,3.9454222326499764,0.9833333333333333,0.8368019293535777
70.0,5.0,3.942399214135464,0.9805555555555555,0.8146277499490668
80.0,5.0,3.9401617768989157,0.9777777777777777,0.7992157063975633
90.0,5.0,3.938386702190214,0.975,0.7879406426366581
100.0,5.0,3.9369033891117833,0.9722222222222222,0.77852114890188
110.0,5.0,3.935568800718907,0.9694444444444444,0.7716042000705426
120.0,5.0,3.9343441390731737,0.9666666666666667,0.7663583450545327
130.0,5.0,3.933150095763658,0.9638888888888889,0.7622778074282884
140.0,5.0,3.931952947973491,0.961111111111111,0.7590380496793163
150.0,5.0,3.930716067439268,0.9583333333333333,0.7564194594171388
160.0,5.0,3.9294112582662795,0.9555555555555555,0.7542674325757168
170.0,5.0,3.9280124318836744,0.9527777777777777,0.7524691360457891
180.0,5.0,3.926487632411286,0.95,0.7509389747501304
190.0,5.0,3.9248415363172646,0.9472222222222222,0.7496126933019012
200.0,5.0,3.9230655339602807,0.9444444444444444,0.7484401303414006
210.0,5.0,3.921110019721648,0.9416666666666667,0.7473784499550706
220.0,5.0,3.919072566202694,0.9388888888888889,0.7463997344546159
230.0,5.0,3.916916930669055,0.9361111111111111,0.7455825335865777
240.0,5.0,3.914556469056814,0.9333333333333332,0.7447777497645488
250.0,5.0,3.912123412814324,0.9305555555555555,0.7439747679148253
260.0,5.0,3.9095918634821403,0.9277777777777777,0.743163026623114
270.0,5.0,3.906961931658755,0.9249999999999999,0.7423333759740327
280.0,5.0,3.9042532986178844,0.9222222222222222,0.7414788720579835
290.0,5.0,3.9014750636796744,0.9194444444444444,0.7405938780700176
300.0,5.0,3.8986346068091615,0.9166666666666666,0.7396737783888954
310.0,5.0,3.8957473593526672,0.9138888888888889,0.738715242470662
320.0,5.0,3.892821916399248,0.911111111111111,0.7377157218257314
330.0,5.0,3.889866125368533,0.9083333333333332,0.7366733200587346
340.0,5.0,3.8868855702343152,0.9055555555555554,0.7355866113616764
350.0,5.0,3.8838903690133453,0.9027777777777777,0.7344548093542344
360.0,5.0,3.8808879167601895,0.8999999999999999,0.7332775788198488
370.0,5.0,3.8778856779635333,0.8972222222222221,0.7320550008696906
380.0,5.0,3.8748920621056433,0.8944444444444444,0.730787584396225
390.0,5.0,3.8719040149642563,0.8916666666666666,0.729475711001755
400.0,5.0,3.868924247473113,0.8888888888888888,0.7281199107134136
410.0,5.0,3.8659593297408605,0.8861111111111111,0.7267210275889421
420.0,5.0,3.863023490114995,0.8833333333333332,0.7252805415029774
430.0,5.0,3.8601224089861894,0.8805555555555554,0.7238001493295034
440.0,5.0,3.857262068492054,0.8777777777777777,0.7222817681349009
450.0,5.0,3.8544158020871278,0.8749999999999999,0.7207261002664226
460.0,5.0,3.8515936783212066,0.8722222222222221,0.7191343072418923
470.0,5.0,3.84879614171137,0.8694444444444444,0.7175075670719019
480.0,5.0,3.8460335489181947,0.8666666666666666,0.7158474997884443
490.0,5.0,3.843300703036723,0.8638888888888887,0.7141554784282939
500.0,5.0,3.8405998085631037,0.8611111111111109,0.7124329587401275
510.0,5.0,3.8379392170587874,0.8583333333333332,0.7106817353095652
520.0,5.0,3.8353142303437178,0.8555555555555554,0.7089033732387915
530.0,5.0,3.8327234132576113,0.8527777777777776,0.7070993576341319
540.0,5.0,3.8301640922971245,0.8499999999999999,0.705271045591147
550.0,5.0,3.8276379708666015,0.8472222222222221,0.7034198548254831
560.0,5.0,3.8251430424818023,0.8444444444444443,0.7015471053765858
570.0,5.0,3.8226774637046246,0.8416666666666666,0.6996540301627994
580.0,5.0,3.8202426757950265,0.8388888888888888,0.6977419140372294
590.0,5.0,3.8178352054145566,0.836111111111111,0.6958118870018184
600.0,5.0,3.8154519828761027,0.8333333333333333,0.692840983892503
610.0,5.0,3.8130927752996473,0.8305555555555554,0.6900322531286869
620.0,5.0,3.8107560751369842,0.8277777777777776,0.6873641133500329
630.0,5.0,3.808440374839903,0.8249999999999998,0.6848181861576571
640.0,5.0,3.8061441668601974,0.8222222222222221,0.6823787303097983
650.0,5.0,3.803857508728379,0.8194444444444443,0.6800318021538481
660.0,5.0,3.8015811906406927,0.8166666666666665,0.6777654242218284
670.0,5.0,3.7993137060665294,0.8138888888888887,0.6755691740686791
680.0,5.0,3.79705262657472,0.8111111111111109,0.6734339020273553
690.0,5.0,3.7947955237340985,0.8083333333333331,0.6713515367913027
700.0,5.0,3.792539203070101,0.8055555555555554,0.6693148910433254
710.0,5.0,3.790281173688065,0.8027777777777776,0.667317560831139
720.0,5.0,3.7880191579192237,0.7999999999999998,0.6653538225053681
730.0,5.0,3.785750631413026,0.797222222222222,0.6634185269143702
740.0,5.0,3.783473391430735,0.7944444444444443,0.661507033222049
750.0,5.0,3.781193536738047,0.7916666666666665,0.6596154914516122
760.0,5.0,3.7789048043548075,0.7888888888888888,0.657740239233924
770.0,5.0,3.7766055561733007,0.786111111111111,0.655877958656102
780.0,5.0,3.774294154085811,0.7833333333333332,0.6540256321134104
790.0,5.0,3.771972048787522,0.7805555555555554,0.652180632546267
800.0,5.0,3.7696428358119456,0.7777777777777777,0.6503407713732586
810.0,5.0,3.767302395291998,0.7749999999999999,0.6485039388435927
820.0,5.0,3.764950055017696,0.7722222222222221,0.6466682283048215
