Time_s,TruePos,TrueVel,MeasPos,EstPos,EstVel,PosVar,VelVar
8.00,8.0000,1.0000,7.4679,7.8893,1.0283,0.061546,0.141774
8.10,8.1000,1.0000,7.8468,7.9563,1.0031,0.061546,0.141774
8.20,8.2000,1.0000,7.8900,8.0156,0.9741,0.061546,0.141774
8.30,8.3000,1.0000,8.0492,8.0973,0.9630,0.061546,0.141774
8.40,8.4000,1.0000,8.8405,8.3529,1.0753,0.061546,0.141774
8.50,8.5000,1.0000,7.9634,8.3380,0.9890,0.061546,0.141774
8.60,8.6000,1.0000,9.2026,8.6254,1.1220,0.061546,0.141774
8.70,8.7000,1.0000,8.2716,8.6229,1.0411,0.061546,0.141774
8.80,8.8000,1.0000,9.1524,8.8318,1.1149,0.061546,0.141774
8.90,8.9000,1.0000,7.9938,8.7095,0.9501,0.061546,0.141774
9.00,9.0000,1.0000,8.8255,8.8097,0.9537,0.061546,0.141774
9.10,9.1000,1.0000,8.7695,8.8717,0.9302,0.061546,0.141774
9.20,9.2000,1.0000,9.5548,9.1099,1.0326,0.061546,0.141774
9.30,9.3000,1.0000,9.6177,9.3128,1.1029,0.061546,0.141774
9.40,9.4000,1.0000,9.5022,9.4426,1.1166,0.061546,0.141774
9.50,9.5000,1.0000,9.3989,9.5160,1.0896,0.061546,0.141774
9.60,9.6000,1.0000,8.3559,9.3125,0.8693,0.061546,0.141774
9.70,9.7000,1.0000,9.3857,9.3961,0.8669,0.061546,0.141774
9.80,9.8000,1.0000,9.5464,9.4984,0.8779,0.061546,0.141774
9.90,9.9000,1.0000,10.3034,9.7628,1.0025,0.061546,0.141774
