Time_s,TrueAngle,TrueAngVel,MeasAngle,EstAngle,EstAngVel,AngleErr,AngVelErr
0.6300,-0.241105,-2.257288,-0.277256,-0.293224,-2.371122,-0.052120,-0.113834
0.6400,-0.263677,-2.231607,-0.413606,-0.345016,-2.414976,-0.081339,-0.183369
0.6500,-0.285993,-2.203807,-0.244760,-0.333032,-2.283491,-0.047039,-0.079684
0.6600,-0.308032,-2.173928,-0.268100,-0.330377,-2.181564,-0.022346,-0.007635
0.6700,-0.329771,-2.142012,-0.387278,-0.362382,-2.174539,-0.032611,-0.032527
0.6800,-0.351191,-2.108103,-0.279372,-0.353709,-2.057105,-0.002518,0.050998
0.6900,-0.372272,-2.072247,-0.301062,-0.353020,-1.964874,0.019252,0.107372
0.7000,-0.392994,-2.034492,-0.461897,-0.398575,-1.997401,-0.005581,0.037091
0.7100,-0.413339,-1.994890,-0.428282,-0.421375,-1.964787,-0.008035,0.030102
0.7200,-0.433288,-1.953491,-0.350252,-0.414672,-1.853180,0.018616,0.100311
0.7300,-0.452823,-1.910349,-0.473844,-0.445001,-1.842909,0.007822,0.067441
0.7400,-0.471927,-1.865520,-0.625602,-0.510505,-1.922917,-0.038578,-0.057397
0.7500,-0.490582,-1.819058,-0.622672,-0.556710,-1.944191,-0.066129,-0.125134
0.7600,-0.508772,-1.771020,-0.537944,-0.565062,-1.861148,-0.056290,-0.090129
0.7700,-0.526483,-1.721464,-0.691326,-0.614921,-1.889241,-0.088438,-0.167777
0.7800,-0.543697,-1.670448,-0.535891,-0.605390,-1.755666,-0.061693,-0.085219
0.7900,-0.560402,-1.618030,-0.466624,-0.577570,-1.578172,-0.017168,0.039858
0.8000,-0.576582,-1.564269,-0.454481,-0.553041,-1.416549,0.023541,0.147720
0.8100,-0.592225,-1.509224,-0.548665,-0.561824,-1.349397,0.030401,0.159827
0.8200,-0.607317,-1.452955,-0.651730,-0.597498,-1.354293,0.009819,0.098662
0.8300,-0.621847,-1.395519,-0.771953,-0.657747,-1.420944,-0.035901,-0.025425
0.8400,-0.635802,-1.336977,-0.730488,-0.688945,-1.404397,-0.053144,-0.067420
0.8500,-0.649171,-1.277386,-0.625346,-0.680453,-1.281082,-0.031282,-0.003696
0.8600,-0.661945,-1.216805,-0.663937,-0.684751,-1.195581,-0.022806,0.021224
0.8700,-0.674113,-1.155290,-0.524204,-0.646635,-0.999952,0.027479,0.155338
0.8800,-0.685666,-1.092901,-0.648558,-0.654290,-0.933652,0.031376,0.159248
0.8900,-0.696595,-1.029692,-0.603466,-0.646163,-0.826891,0.050432,0.202801
0.9000,-0.706892,-0.965720,-0.781219,-0.691234,-0.864148,0.015658,0.101572
0.9100,-0.716549,-0.901041,-0.750321,-0.714518,-0.839410,0.002032,0.061631
0.9200,-0.725560,-0.835709,-0.603550,-0.688266,-0.682757,0.037293,0.152953
0.9300,-0.733917,-0.769779,-0.831109,-0.734574,-0.724048,-0.000657,0.045731
0.9400,-0.741615,-0.703303,-0.613937,-0.704697,-0.559464,0.036918,0.143840
0.9500,-0.748648,-0.636336,-0.625248,-0.685606,-0.430122,0.063041,0.206214
0.9600,-0.755011,-0.568928,-0.667222,-0.683323,-0.350188,0.071688,0.218739
0.9700,-0.760700,-0.501131,-1.021570,-0.783987,-0.544401,-0.023287,-0.043270
0.9800,-0.765712,-0.432997,-0.830443,-0.801335,-0.506056,-0.035623,-0.073059
0.9900,-0.770042,-0.364576,-0.775684,-0.797481,-0.411491,-0.027440,-0.046915
1.0000,-0.773687,-0.295917,-0.912672,-0.833838,-0.426287,-0.060151,-0.130370
1.0100,-0.776647,-0.227071,-0.671936,-0.789866,-0.225293,-0.013219,0.001779
1.0200,-0.778917,-0.158087,-0.680854,-0.759819,-0.069737,0.019099,0.088350
1.0300,-0.780498,-0.089013,-0.791430,-0.769491,-0.025879,0.011007,0.063133
1.0400,-0.781388,-0.019897,-0.610493,-0.723516,0.164872,0.057872,0.184770
1.0500,-0.781587,0.049211,-0.650704,-0.701209,0.284314,0.080378,0.235103
1.0600,-0.781095,0.118264,-0.685234,-0.694554,0.357392,0.086542,0.239127
1.0700,-0.779913,0.187214,-0.764630,-0.712359,0.363386,0.067554,0.176172
1.0800,-0.778040,0.256013,-0.772494,-0.727234,0.378304,0.050806,0.122292
1.0900,-0.775480,0.324611,-0.642995,-0.700099,0.504754,0.075381,0.180142
1.1000,-0.772234,0.392963,-0.807405,-0.727660,0.481470,0.044574,0.088508
1.1100,-0.768304,0.461018,-0.655122,-0.703190,0.598068,0.065114,0.137050
1.1200,-0.763694,0.528728,-0.696389,-0.696971,0.661535,0.066723,0.132807
1.1300,-0.758407,0.596045,-0.884118,-0.746589,0.575686,0.011818,-0.020359
1.1400,-0.752447,0.662919,-0.935766,-0.797404,0.492600,-0.044957,-0.170319
1.1500,-0.745817,0.729300,-0.747537,-0.779435,0.596730,-0.033618,-0.132569
1.1600,-0.738524,0.795138,-0.768465,-0.772016,0.668921,-0.033492,-0.126217
1.1700,-0.730573,0.860384,-0.827560,-0.783389,0.688967,-0.052816,-0.171417
1.1800,-0.721969,0.924985,-0.736712,-0.764951,0.788025,-0.042982,-0.136960
1.1900,-0.712719,0.988891,-0.650157,-0.726040,0.937172,-0.013320,-0.051719
1.2000,-0.702830,1.052049,-0.785711,-0.736708,0.948454,-0.033877,-0.103595
1.2100,-0.692310,1.114407,-0.807259,-0.750453,0.952104,-0.058143,-0.162303
1.2200,-0.681166,1.175912,-0.622362,-0.706519,1.108874,-0.025353,-0.067037
1.2300,-0.669407,1.236509,-0.728797,-0.705114,1.145915,-0.035707,-0.090594
1.2400,-0.657042,1.296146,-0.750434,-0.710133,1.164925,-0.053092,-0.131221
1.2500,-0.644080,1.354767,-0.570719,-0.661405,1.325391,-0.017325,-0.029376
1.2600,-0.630533,1.412317,-0.677778,-0.656749,1.361697,-0.026216,-0.050621
